name,row_code,"Поступило в консолидированный бюджет, всего",Уд. вес в общей сумме поступлений (%),в том числе: Федеральные налоги,в том числе: из них: налог на прибыль организации: всего,в том числе: из них: налог на прибыль организации: в том числе в федеральный бюджет,в том числе: из них:налог на доходы физических лиц,в том числе: из них: НДС,в том числе: из них: акцизы по подакцизным товарам,в том числе: из них:налог на добычу полезных ископаемых,в том числе: из них:остальные налоги и сборы,в том числе: Региональные налоги и сборы,в том числе: Местные налоги и сборы,в том числе: Налоги со специальным налоговым режимом,year
ВСЕГО:,601,"9,522.73",100,"7,406.05","1,609.54",54.97,"3,463.36","1,247.84",868.52,157.49,59.30,"1,093.62",269.76,753.31,2014
ВСЕГО:,601,"10,756.2",100,"8,384.4","1,505.2",80.7,"3,549.4","1,886.4","1,252.0",120.5,71.0,"1,201.2",322.7,847.8,2015
ВСЕГО:,601,"12,716.0",100,"10,217.6","1,734.0",79.6,"3,680.8","1,767.0","2,816.8",146.9,72.2,"1,251.7",312.8,933.9,2016
"Сельское хозяйство, охота и лесное хозяйство",602,317.25,3.3,217.97,12.22,1.21,99.30,87.60,16.46,1.96,0.43,29.67,9.92,59.69,2014
"Сельское хозяйство, охота и лесное хозяйство",602,366.3,3.4,256.4,14.7,1.6,119.5,96.2,23.9,1.7,0.3,28.1,10.0,71.7,2015
"Сельское хозяйство, охота и лесное хозяйство",602,348.9,2.7,199.1,37.3,3.6,145.7,-2.5,17.7,0.6,0.3,25.1,9.6,115.1,2016
"Рыболовство, рыбоводство",603,1.42,0.0,0.98,0.03,0.00,0.89,0.06,0.00,0.00,0.00,0.07,0.07,0.30,2014
"Рыболовство, рыбоводство",603,1.8,0.0,1.4,0.0,0.0,1.2,0.1,0.0,0.2,0.0,0.1,0.1,0.2,2015
"Рыболовство, рыбоводство",603,4.5,0.0,1.6,0.0,0.0,1.5,0.0,0.0,0.1,0.0,0.6,1.3,1.0,2016
Добыча полезных ископаемых,604,238.45,2.5,78.81,39.01,1.99,48.36,-162.10,0.00,153.51,0.02,155.19,1.08,3.37,2014
Добыча полезных ископаемых,604,447.3,4.2,293.3,17.2,2.4,47.2,112.9,0.0,116.0,0.0,147.8,2.3,4.0,2015
Добыча полезных ископаемых,604,563.3,4.4,408.1,15.1,1.7,42.7,206.5,0.0,143.8,0.0,150.2,1.9,3.1,2016
добыча топливно-энергетических полезных ископаемых,605,72.56,0.8,-74.29,16.68,0.00,21.85,-243.27,0.00,130.43,0.02,146.59,0.15,0.10,2014
добыча топливно-энергетических полезных ископаемых,605,310.5,2.9,170.7,-8.9,0.1,28.2,60.6,0.0,90.8,0.0,139.5,0.2,0.1,2015
добыча топливно-энергетических полезных ископаемых,605,446.5,3.5,301.0,0.0,0.0,29.2,153.0,0.0,118.9,0.0,145.0,0.2,0.2,2016
добыча сырой нефти и природного газа; предоставление услуг в этих областях,606,72.45,0.8,-74.40,16.68,0.00,21.74,-243.27,0.00,130.43,0.02,146.59,0.15,0.10,2014
добыча сырой нефти и природного газа; предоставление услуг в этих областях,606,310.4,2.9,170.6,-8.9,0.1,28.1,60.6,0.0,90.8,0.0,139.5,0.2,0.1,2015
