name,row_code,Задолженность: млн. рублей,Задолженность: Удельный вес в общей сумме задолженности (%),в том числе: Недоимка млн. рублей,в том числе: Недоимка Удельный вес в сумме задолженности (%),в том числе: Отсроченные (рассроченные) платежи и реструктурированная задолженность: млн. рублей,в том числе: Отсроченные (рассроченные) платежи и реструктурированная задолженность: Удельный вес в сумме задолженности (%),в том числе: Приостановленные к взысканию платежи: млн. рублей,в том числе:Приостановленные к взысканию платежи: Удельный вес в сумме задолженности (%),year
ВСЕГО:,801,760.65,100,421.73,55.4,0.01,0.0,333.38,43.8,2014
ВСЕГО:,801,832.8,100,541.1,65.0,3.0,0.4,283.1,34.0,2015
ВСЕГО:,801,"1,069.5",100,782.9,73.2,0.0,0.0,276.3,25.8,2016
"Сельское хозяйство, охота и лесное хозяйство",802,50.54,6.6,18.06,35.7,0.01,0.0,31.18,61.7,2014
"Сельское хозяйство, охота и лесное хозяйство",802,46.0,5.5,29.7,64.6,0.6,1.3,16.2,35.2,2015
"Сельское хозяйство, охота и лесное хозяйство",802,29.6,2.8,17.5,59.2,0.0,0.1,12.1,40.7,2016
"Рыболовство, рыбоводство",803,1.17,0.2,0.46,39.0,0.00,0.0,0.70,60.0,2014
"Рыболовство, рыбоводство",803,1.8,0.2,0.7,35.9,0.0,0.6,1.2,63.5,2015
"Рыболовство, рыбоводство",803,0.9,0.1,0.7,71.8,0.0,0.0,0.3,28.3,2016
Добыча полезных ископаемых,804,7.31,1.0,5.24,71.7,0.00,0.0,2.07,28.3,2014
Добыча полезных ископаемых,804,14.6,1.8,11.8,80.8,0.0,0.0,2.8,19.2,2015
Добыча полезных ископаемых,804,18.6,1.7,11.4,61.2,0.0,0.0,7.2,38.8,2016
добыча топливно-энергетических полезных ископаемых,805,0.01,0.0,0.01,100.0,0.00,0.0,0.00,0.0,2014
добыча топливно-энергетических полезных ископаемых,805,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2015
добыча топливно-энергетических полезных ископаемых,805,0.5,0.0,0.4,94.3,0.0,0.0,0.0,5.7,2016
добыча сырой нефти и природногогаза;предоставление услуг в этих отраслях,806,0.01,0.0,0.01,100.0,0.00,0.0,0.00,0.0,2014
добыча сырой нефти и природного газа;предоставление услуг в этих отраслях,806,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2015
добыча сырой нефти и природного газа;предоставление услуг в этих отраслях,806,0.5,0.0,0.4,94.3,0.0,0.0,0.0,5.7,2016
"добыча полезных ископаемых, кроме топливно-энергетических",807,7.30,1.0,5.23,71.6,0.00,0.0,2.07,28.4,2014
"добыча полезных ископаемых, кроме топливно-энергетических",807,14.6,1.7,11.8,80.8,0.0,0.0,2.8,19.2,2015
"добыча полезных ископаемых, кроме топливно-энергетических",807,18.1,1.7,10.9,60.4,0.0,0.0,7.2,39.6,2016
добыча металлических руд,808,0.01,0.0,0.01,100.0,0.00,0.0,0.00,0.0,2014
добыча металлических руд,808,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2015
добыча металлических руд,808,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2016
Обрабатывающие производства,809,200.92,26.4,58.52,29.1,0.00,0.0,129.88,64.6,2014
Обрабатывающие производства,809,170.2,20.4,71.9,42.2,2.4,1.4,98.3,57.8,2015
Обрабатывающие производства,809,182.7,17.1,102.5,56.1,0.0,0.0,80.2,43.9,2016
"производство пищевых продуктов, включая напитки",810,139.01,18.3,29.34,21.1,0.00,0.0,109.64,78.9,2014
"производство пищевых продуктов, включая напитки",810,107.5,12.9,43.3,40.3,2.4,2.3,64.1,59.7,2015
"производство пищевых продуктов, включая напитки",810,115.9,10.8,57.6,49.7,0.0,0.0,58.2,50.2,2016
"обработка древесины и производство изделий из дерева и пробки, кроме мебели",811,6.76,0.9,3.00,44.4,0.00,0.0,3.75,55.6,2014
"обработка древесины и производство изделий из дерева и пробки, кроме мебели",811,16.2,1.9,4.5,27.8,0.0,0.0,11.7,72.2,2015
"обработка древесины и производство изделий из дерева и пробки, кроме мебели",811,11.6,1.1,5.9,50.8,0.0,0.0,5.7,49.2,2016
производство нефтепродуктов,812,5.00,0.7,3.29,65.7,0.00,0.0,1.72,34.3,2014
производство нефтепродуктов,812,9.3,1.1,5.7,61.0,0.0,0.0,3.6,39.0,2015
производство нефтепродуктов,812,15.7,1.5,12.2,78.0,0.0,0.0,3.4,22.0,2016
металлургическое производство и производство готовых металлических изделий,813,4.42,0.6,3.19,72.2,0.00,0.0,1.23,27.8,2014
