name,row code,"Поступило в консолидированный бюджет РФ, млрд.руб.","Оборот организаций*, млрд.руб.","Налоговая нагрузка, %",year
ВСЕГО,1001,8.5,55.0,15.4,2013
ВСЕГО,1001,6,7,8,2014
ВСЕГО,1001,9,10,11,2015
"сельское хозяйство, охота и лесное хозяйство",1002,0.1,4.0,3.1,2013
"сельское хозяйство, охота и лесное хозяйство",1002,,,,2014
"сельское хозяйство, охота и лесное хозяйство",1002,,,,2015
"рыболовство, рыбоводство",1003,0.0,,X,2013
"рыболовство, рыбоводство",1003,0.3,4.0,7.9,2014
"рыболовство, рыбоводство",1003,0.4,5.0,7.3,2015
добыча полезных ископаемых,1004,0.1,2.0,7.1,2013
добыча полезных ископаемых,1004,0.0,,X,2014
добыча полезных ископаемых,1004,0.0,,X,2015
обрабатывающие производства,1005,2.0,21.0,9.5,2013
обрабатывающие производства,1005,0.2,1.0,23.8,2014
обрабатывающие производства,1005,0.4,1.0,44.7,2015
"производство и распределение электроэнергии, газа и воды",1006,0.3,4.0,7.3,2013
"производство и распределение электроэнергии, газа и воды",1006,2.3,25.0,9.1,2014
"производство и распределение электроэнергии, газа и воды",1006,3.0,27.0,11.0,2015
строительство,1007,0.6,5.0,12.8,2013
строительство,1007,0.3,4.0,7.8,2014
строительство,1007,0.3,4.0,7.4,2015
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",1008,1.7,18.0,9.3,2013
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",1008,0.6,4.0,14.8,2014
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",1008,0.6,5.0,12.6,2015
гостиницы и рестораны,1009,0.0,,,2013
гостиницы и рестораны,1009,1.9,18.0,10.4,2014
гостиницы и рестораны,1009,2.0,10.0,20.2,2015
транспорт и связь,1010,0.5,,,2013
транспорт и связь,1010,0.1,,,2014
транспорт и связь,1010,0.0,,,2015
"операции с недвижимым имуществом, аренда и предоставление услуг",1011,0.7,1.0,67.5,2013
"операции с недвижимым имуществом, аренда и предоставление услуг",1011,0.5,,,2014
"операции с недвижимым имуществом, аренда и предоставление услуг",1011,0.5,,,2015
"предоставление прочих коммунальных, социальных и персональных услуг",1012,0.2,,,2013
"предоставление прочих коммунальных, социальных и персональных услуг",1012,0.7,,,2014
"предоставление прочих коммунальных, социальных и персональных услуг",1012,0.8,,,2015
