name,row_code,value,per_with_previous_year,year
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",201,"81,865.82",109.8,2014
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",201,"89,728.3",109.6,2015
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",201,"98,405.8",109.7,2016
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы   (млн. руб.)",202,"79,139.07",109.5,2014
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы   (млн. руб.)",202,"86,127.7",108.8,2015
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы   (млн. руб.)",202,"93,144.7",108.1,2016
"Доходы, исключаемые из прибыли (млн. руб.)",203,0.58,88.3,2014
"Доходы, исключаемые из прибыли (млн. руб.)",203,3.9,671.1,2015
"Доходы, исключаемые из прибыли (млн. руб.)",203,1.3,32.6,2016
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",204,117.72,110.0,2014
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",204,178.8,151.9,2015
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",204,"1,407.0",786.9,2016
Налоговая база для исчисления налога (млн. руб.),205,"2,677.03",120.3,2014
Налоговая база для исчисления налога (млн. руб.),205,"3,446.3",128.7,2015
Налоговая база для исчисления налога (млрд. руб.),205,"3,967.8",115.1,2016
Сумма начисленной амортизации за отчетный (налоговый) период (млн. руб.),206,"3,564.82",130.3,2014
Сумма начисленной амортизации за отчетный (налоговый) период (млн. руб.),206,"2,737.5",76.8,2015
Сумма начисленной амортизации за отчетный (налоговый) период (млрд. руб.),206,"2,717.8",99.3,2016
Сумма исчисленного налога (млн.руб.),207,535.40,120.3,2014
Сумма исчисленного налога (млн.руб.),207,689.3,128.7,2015
Сумма исчисленного налога (млн.руб.),207,793.6,115.1,2016
"Сумма налога, исчисленная по налогооблагаемым объектам (млн. руб.)",208,"15,700.46",95.5,2014
"налоговая база по налогоплательщикам, входящим в КГН (млн. руб.)",208,"1,002.5",56.3,2015
"налоговая база по налогоплательщикам, входящим в КГН (млн. руб.)",208,"2,132.55",212.7,2016
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров по налоговой ставке 10%  (млн.руб.)",209,"2,343.65",110.8,2014
"сумма начисленного налога по налогоплательщикам, входящим в КГН (млн. руб.)",209,180.4,56.3,2015
"сумма начисленного налога по налогоплательщикам, входящим в КГН (млн. руб.)",209,383.86,212.7,2016
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров (работ, услуг), передаче имущественных прав по налоговой ставке 18%  (млн.руб.)",210,"10,506.57",97.0,2014
"Сумма налога, исчисленная по налогооблагаемым объектам (млн. руб.)",210,"18,493.1",117.8,2015
"Сумма налога, исчисленная по налогооблагаемым объектам (млн. руб.)",210,"19,298.9",104.4,2016
Сумма налоговых вычетов (млн. руб.),211,"14,566.30",92.5,2014
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров по налоговой ставке 10%  (млн.руб.)",211,"2,755.9",117.6,2015
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров по налоговой ставке 10%  (млн.руб.)",211,"2,748.8",99.7,2016
"сумма налога, предъявленная подрядными организациями (заказчиками-застройщиками) при проведении капитального строительства (млн. руб.)",212,320.90,110.0,2014
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров (работ, услуг), передаче имущественных прав по налоговой ставке 18%  (млн.руб.)",212,"12,255.4",116.6,2015
"сумма налога, исчисленная при реализации (передаче для собственных нужд) товаров (работ, услуг), передаче имущественных прав по налоговой ставке 18%  (млн.руб.)",212,"13,000.7",106.1,2016
"сумма налога, уплаченная при ввозе товаров на таможенную территорию РФ (млн. руб.)",213,332.59,84.5,2014
Сумма налоговых вычетов (млн. руб.),213,"16,812.3",115.4,2015
